Job,RunTime,Day,Month,Year
SQL_WYNSURESTAGINGLOADMISC_DEP_ALL_C,32057,23,3,24
SQL_WYNSURESTAGINGLOADCLASSIFICATIONS_DEP_ALL_C,32057,23,3,24
SQL_WYNSURESTAGINGLOADACCOUNTING_DEP_ALL_C,32058,23,3,24
SQL_WYNSURESTAGINGLOADENROLLMENT_DEP_ALL_C,32058,23,3,24
SQL_WYNSURESTAGINGLOADCLAIMS_DEP_ALL_C,32058,23,3,24
WYN_ERRORTRACEMAINTENANCE_DEP_C,2,25,3,24
WYN_BATCH_CYCLE_REPORT_DEP_C,125,25,3,24
SQL_WYNSURESTAGINGLOADDYNAMIC_DEP_ALL_C,1944,25,3,24
SQL_WYNSURESTAGINGLOADBILLING_DEP_ALL_C,818,25,3,24
SQL_WYNSURESTAGINGLOADACCOUNTING_DEP_ALL_C,4420,25,3,24
SQL_WYNSURESTAGINGLOADMISC_DEP_ALL_C,817,25,3,24
SQL_WYNSURESTAGINGLOADENROLLMENT_DEP_ALL_C,5140,25,3,24
SQL_WYNSURESTAGINGLOADCLASSIFICATIONS_DEP_ALL_C,1674,25,3,24
SQL_WYNSURESTAGINGLOADPARTY_DEP_ALL_C,5818,25,3,24
SQL_WYNSURESTAGINGLOADCLAIMS_DEP_ALL_C,2982,25,3,24
SQL_WYNSURESTAGINGGLSUMMARIZEDDATACLEANUP_DEP_C,49,25,3,24
SQL_WYNSURESTAGINGINCREMENTALLOADACCOUNTING_DEP_ALL_C,3775,25,3,24
SQL_WYNSURESTAGINGINCREMENTALLOADENROLLMENT_DEP_ALL_C,3984,25,3,24
SQL_WYNSURESTAGINGINCREMENTALLOADPARTY_DEP_ALL_C,863,25,3,24
SQL_WYNSURESTAGINGINCREMENTALLOADDYNAMIC_DEP_ALL_C,2994,25,3,24
SQL_WYNSURESTAGINGINCREMENTALLOADBILLING_DEP_ALL_C,2369,25,3,24
SQL_WYNSURESTAGINGINCREMENTALLOADCLASSIFICATION_DEP_ALL_C,1056,25,3,24
SQL_WYNSURESTAGINGINCREMENTALLOAD_DEP_C,8720,25,3,24
SQL_WYNSURESTAGINGINCREMENTALLOADMISC_DEP_ALL_C,2504,25,3,24
WYN_CPY_PROFILE_RESTORECYCLE_END_C,1,25,3,24
WYN_CPY_START_WYNSURESERVICE_DEP_C,38,25,3,24
WYN_CPY_RESTORE_PROFILE_DEP_C,103,25,3,24
WYN_CYCLE_END_C,1,25,3,24
WYN_CORE_JOBS_COMPLETE_DEP_C,1,25,3,24
WYN_START_WYNSURESERVICE_DEP_C,55,25,3,24
WYN_DBBACKUPDIFFERENTIAL_DEP_C,1173,25,3,24
WYN_ACTIVITYPROCESSORBATCHMANAGERPRIOTWO_DEP_C,4,25,3,24
WYN_ACTIVITYPROCESSORBATCHMANAGERPRIOONE2_DEP_C,3,25,3,24
WYN_UPDATEWYNSUREPROFILE_DEP_C,40,25,3,24
WYN_PLANNEDTERMINATIONNOTIFICATIONBATCH_DEP_C,1,25,3,24
WYN_MONEYMOVEMENTREQUESTBATCHMANAGER2_DEP_C,35,25,3,24
WYN_DISBURSEMENTSTATEMENTBATCHMANAGER_DEP_C,9,25,3,24
WYN_PLANNEDDISBURSEMENTBATCHMANAGER_DEP_C,3,25,3,24
WYN_PTDBATCHMANAGER_DEP_C,135,25,3,24
WYN_RECONCILIATIONBATCHBROKER2_DEP_C,279,25,3,24
WYN_AUTOPROCESSPENDINGPAYMENTDETAILSBATCHMANAGER_DEP_C,1153,25,3,24
WYN_CPY_STOP_WYNSURESERVICE_DEP_C,17,25,3,24
WYN_CPY_PROFILE_RESTORECYCLE_START_C,1,25,3,24
WYN_CPY_SETRUNDATE_DEP_C,2,25,3,24
WYN_PROPORTIONALALLOCATIONBATCHMANAGER_DEP_C,3975,25,3,24
WYN_PAYROLLBILLAUTODISPOSITIONBATCHMANAGER_DEP_C,85,25,3,24
WYN_DIRECTBILLAUTODISPOSITIONBATCHMANAGER_DEP_C,25,25,3,24
WYN_MONEYMOVEMENTREQUESTBATCHMANAGER1_DEP_C,10,25,3,24
WYN_INVOICESTATEMENTBATCHMANAGER_DEP_C,5124,25,3,24
WYN_RECONCILIATIONBATCHBROKER1_DEP_C,140,25,3,24
WYN_BILLINGBATCHMANAGER_DEP_C,660,24,3,24
WYN_COVERAGEAMOUNTREDUCTIONBATCHBROKER_DEP_C,231,24,3,24
WYN_BILLINGSERVICEMAINTENANCEBATCHBROKER_DEP_C,4,24,3,24
WYN_COVEREDPERSONPLANNEDTERMINATIONBATCHBROKER_DEP_C,553,24,3,24
WYN_PLANNEDTERMINAISONBATCHBROKER_DEP_C,252,24,3,24
WYN_PROCESSCONSOLIDATEDLAPSINGNOTICEBATCH_DEP_C,66,24,3,24
WYN_INVOICEALREADYLAPSINGBATCHMANAGER_DEP_C,49,24,3,24
WYN_INVOICENEWLYLAPSINGBATCHMANAGER_DEP_C,36,24,3,24
WYN_LAPSINGEXCEPTIONINVOICELAPSINGOUTOFSCOPE_DEP_C,13,24,3,24
WYN_LAPSINGEXCEPTIONINVOICELAPSINGINSCOPEBATCHMANAGER_DEP_C,18,24,3,24
WYN_SOEOUTOFSCOPEINVOICEBATCH_DEP_C,13,24,3,24
WYN_SOEINSCOPEINVOICEBATCH_DEP_C,37,24,3,24
WYN_ACTIVITYPROCESSORBATCHMANAGERPRIOONE1_DEP_C,3,24,3,24
WYN_RECONCILIATIONBATCHBROKER_DEP_C,169,24,3,24
WYN_EDAACTIVITYRESCHEDULERBATCHMANAGER_DEP_C,48,24,3,24
WYN_PRENOTEPROCESSINGBATCHMANAGER_DEP_C,6,24,3,24
WYN_ACTIVITYPROCESSORBATCHMANAGERPRIORITY3_DEP_C,5501,24,3,24
WYN_SETRUNDATE_DEP_C,1,24,3,24
WYN_STOP_WYNSURESERVICE_DEP_C,55,24,3,24
WYN_CYCLE_START_C,1,24,3,24
WYN_NOTIFYKILLWYNSURESESSIONS_C,906,24,3,24
SQL_WYNSURESTAGINGLOADPARTY_DEP_ALL_C,3200,24,3,24
SQL_WYNSURESTAGINGLOADCLAIMS_DEP_ALL_C,995,24,3,24
SQL_WYNSURESTAGINGLOADENROLLMENT_DEP_ALL_C,3651,24,3,24
SQL_WYNSURESTAGINGLOADACCOUNTING_DEP_ALL_C,2391,24,3,24
WYN_CYCLE_END_C,1,24,3,24
WYN_START_WYNSURESERVICE_DEP_C,57,24,3,24
WYN_BATCH_CYCLE_REPORT_DEP_C,576,24,3,24
SQL_WYNSURESTAGINGLOADBILLING_DEP_ALL_C,32058,23,3,24
SQL_WYNSURESTAGINGLOADDYNAMIC_DEP_ALL_C,32058,23,3,24
SQL_WYNSURESTAGINGLOADPARTY_DEP_ALL_C,32058,23,3,24
SQL_WYNSURESTAGINGLOADMISC_DEP_ALL_C,32057,23,3,24
SQL_WYNSURESTAGINGLOADCLASSIFICATIONS_DEP_ALL_C,32057,23,3,24
SQL_WYNSURESTAGINGLOADACCOUNTING_DEP_ALL_C,32058,23,3,24
SQL_WYNSURESTAGINGLOADENROLLMENT_DEP_ALL_C,32058,23,3,24
SQL_WYNSURESTAGINGLOADCLAIMS_DEP_ALL_C,32058,23,3,24
SQL_WYNSURESTAGINGGLSUMMARIZEDDATACLEANUP_DEP_C,47,23,3,24
WYN_ERRORTRACEMAINTENANCE_DEP_C,2,23,3,24
WYN_BATCH_CYCLE_REPORT_DEP_C,99,23,3,24
